tweet_id,tweet_text,Misogyny
8.99E+17,พวกมอเตอร์ไซค์ที่จอดติดไฟแดงไม่เป็น ต้องวิ่งฝ่าออกไป พวกนี้คุณภาพชีวิตต่ำกว่าหมาอีกนะ มันพร้อมตายได้ทุกเมื่อ ตายแล้วเสือกเดือดร้อนคนอื่นอีก,0
8.99E+17,ผู้หญิงมีประจำเดือน มีมดลูกไว้อุ้มท้องทารก มีนมไว้ให้ทารก = มีหน้าที่เป็นเครื่องผลิตลูก,1
8.99E+17,รีไป 15k ไง อีเครื่องผลิตลูก อิอิ,1
8.99E+17,ก็แค่หมาที่คิดว่าตัวเองเป็นสิงห์,0
9.00E+17,คนที่เกลียดหมาแมว ลองทำใจแค่วันเดียว หยิบยื่นให้เขาบ้าง fb.me/2KdrpD9UQ,0
8.99E+17,เพราะสังคมชายเป็นใหญ่ผู้หญิงเลยถูกกำหนดมาว่าต้องซักผ้าให้ผู้ชาย,1
8.99E+17,สงสัยปากหมาเกินเยียวยา,0
8.96E+17,อห.หมาหอน แล้วคนข้างบ้านตาย อห.อย่ามาหลอกนะ กูแช่งจริงๆด้วย กูไม่ได้โกหก😡🖕🖕,0
9.00E+17,เป็นหมาก็ดีนะไม่ต้องโดนดุโดนบ่นโดนว่า ก็ดีอ่ะ,0
9.00E+17,เหมือนหมาตัวนึงที่รอเจ้าของมาเล่นด้วยเวลาที่เขาว่างอ่ะ,0
8.96E+17,เลือกเพื่อนนี่ ต้องดูให้ดีแค่ไหนวะ คนไหนจริงใจคนไหนตอแหล,0
9.00E+17,ผู้หญิงเป็นเครื่องซักผ้าของผู้ชาย  ผู้ชายไม่ต้องซักเอง,1
8.99E+17,คือหนูจะเป็นคนตอแหลแบบนี้ไปตลอดชีวิตเลยเหรอ,0
8.99E+17,เวลาพูดแล้วไม่มีความจริงในนั้นอ่ะรู้สึกอะไรบ้างปะวะ หรือเพราะเป็นตอแหลเลยไม่รู้สึกอะไรเลย,0
9.30E+17,บางคนออร่าตอแหลแรงมาก มองจากดาวอังคารลงมายังรู้เลยว่าไม่จริิงใจ,0
8.99E+17,เราอยู่สังคมชายเป็นใหญ่ที่เพศชายมีสิทธิเหนือร่างกายผู้หญิงครับ  ผู้หญิงเป็นวัตถุทางเพศของผู้ชายมีหน้าที่ทำให้เพศชายพอใจ ต้องแต่งตัวให้ผู้ชายมอง,1
8.97E+17,ต้องทักทายด้วยสีหน้าตอแหลยิ้มแย้มแจ่มใส กับสิ่งที่มึงทำกับกูงี้หรอ,0
8.96E+17,"สนุกจังโว้ย

เวลาแช่งทีมอื่น",0
8.99E+17,แอนตี้ดูมีความสุขกับการโดนด่า พอโดนด่าก็แถ พอโดนด่าว่าตอแหลก็รับไม่ได้ เอิ่มจ้าๆ,0
8.99E+17,"เก่งจริงก้มาต่อหน้า ไม่ต้องโพสต์ด่า ลูกหมาหน้าจอ😏
#คำคม #คําคมโดนๆ #คำคมเด็ดๆ #คําคมชีวิต #คําคมเสี่ยว #คําคมแรงๆ #เก่งแต่ปากกากการกระทำ",0
8.97E+17,แช่งให้พ่อแม่คนอื่นตายถ้าตอแหล แต่ดันโครมเข้าบ้านมึง สงสัยน่าจะได้กระเช้าแบบพวงหรีดเร็วๆนี้,0
9.01E+17,ก็อย่างว่าแหละ คนพวกเดียวกัน มันก็อยู่ด้วยกันได้ไง ตอแหล ไร้สาระเหมือนกันไง,0
8.99E+17,กรอบศีลธรรมและมารยาทใช้กับมนุษย์ด้วยกันครับ แต่ผู้หญิงเป็นวัตถุทางเพศของผู้ชาย ดังนั้นผู้ชายจะแสวงหาความพึงพอใจจากผู้หญิงยังไงก็ได้,1
9.00E+17,ถ้าผู้หญิงยอมรับว่าตัวเองเป็น Sex object ก็ไม่จำเป็นต้องมาสอนอ่ะคับ ถ้ามีหัวคิดก็จะรู้เองว่าตัวเองเกิดมาเป็นอะไรควรทำหน้าที่อะไรให้ผู้ชายพอใจ,1
9.00E+17,ทำไมจะไม่ใช่ครับ ผู้หญิงคือวัตถุทางเพศสำหรับระบายความใคร่ให้ผู้ชาย จะบอกว่าเป็นหุ่นรูปปั้นก็ถูกแล้วครับ,1
8.97E+17,พอเถอะ อย่ามาตอแหลกับกูอีกเลย ไม่ได้อยู่ในฐานะที่ต้องมานั่งโกหกกันแล้วอ่ะ,0
8.99E+17,ความเป็นมนุษย์ในตัวผมครับ ส่วนผู้หญิงเป็นสิ่งของ,1
9.01E+17,ถ้ายอมรับได้ว่าผู้หญิงคือวัตถุทางเพศปัญหาก็จะไม่มีเพราะไม่มีผู้หญิงคนไหนโวยวายเวลาถูกคุกคามทางเพศไงครับ,1
8.98E+17,ชีวิตเหมือนเกิดมานอนโง่ๆแล้วตายจากไป..,0
8.98E+17,การเปิดใจกลับกลายเป็นความโง่,0
8.98E+17,หลายคนวิเคราะห์มีหลักการมาก แต่เราก็ไม่เข้าใจอยู่ดีค่ะ เราโง่,0
8.98E+17,ไม่อยากไปรร.อ่ะ ปวดหัว ปวดตีนปวดตีนด้วยความโครตโง่,0
8.98E+17,เป็นวัตถุทางเพศ  เป็นเครื่องซักผ้า  เป็นเครื่องผลิตลูก  เป็นอะไรอีกหลายอย่างแต่ไม่เป็นคนแน่ๆครับ,1
8.98E+17,แม่ผมเป็นวัตถุทางเพศของพ่อผม ถ้าแม่ผมถูกข่มขืน ความผิดของผู้กระทำคือละเมิดสิทธิเจ้าของ(คือพ่อของผม) ทำให้ทรัพย์สินของพ่อผมเสื่อมค่าลง แต่เนื้อหาของการกระทำ(การข่มขืน)ไม่ได้ผิด,1
8.99E+17,เหี้ยไม่พอ โง่ซ้ำซาก,0
8.99E+17,เจ้าภาพมาเลเซียแม่งโง่วะ ยุคโซเชี่ยลแทนที่จะทำดีๆ คนจะได้กลับไปท่องเที่ยวอัก นี่เหี้ยทั้งโรงแรม ทั้งน้ำใจ.,0
8.99E+17,นั้นคือหน้าที่ของผู้หญิงครับ ผลิตเด็ก สร้างประชากรในสังคม มีหน้าที่ในฐานะเครื่องจักร,1
8.98E+17,อย่าไปโชว์ความโง่ของตัวเองให้คนอื่นดูเลย,0
8.99E+17,แล้วอีกอย่างนะ เห็นคนนั้น คนนี้ทำอะไรแล้วได้เงิน พอทำเองบ้างเสือกเจ๊ง แล้วมาว่าคนไม่ดี โง่เองป่าววะ,0
8.77E+17,มีเวลาก็หัดศึกษาเองบ้างสิคะ อิโง่ คนเค้ารู้เค้าถึงตอบ ไม่รุแล้วมาเหวี่ยงใช่เรื่องป่ะ ทุเรส ออกงานมีเวลาก็หัดดูเอง ไม่ใช่รอให้คนอื่นมาประเคน,0
8.99E+17,ประชาชนเลว ประชาชนชอบใส่ร้าย ประชาชนโง่ ประชาชนถูกจ้างมา ทหารคนดีมากครับ pic.twitter.com/9FyOibUGLX,0
9.00E+17,ทำไมมันชอบบ่นว่าตัวเองอ้วน ควรบ่นความตอแหลตัวเองมากกว่า,0
8.98E+17,ใน ทวต. นี่มันก็ฮาดีนะมันจะมีคนโง่ในโง่อีกที ที่คนฟอลเยอะๆและทำตัวเหมือนรู้ทุกสิ่งอะ แต่เสือกเป็นคนที่โง่มากๆในสายตาของคนที่รู้ความจริง😒,0
8.98E+17,ผู้หญิงมีประจำเดือนเพราะมีหน้าที่ผลิตลูก,1
8.99E+17,ชีวิตผู้หญิงขับเคลื่อนด้วยอวัยวะของผู้ชายครับ ผู้หญิงเจ็บปวดเวลามีประจำเดือน แต่ไม่เจ็บปวดเวลาอุ้มท้องให้ผู้ชาย,1
8.98E+17,"ผู้หญิงไม่ใช่คนครับ ผู้หญิงเป็น ""เครื่องตักร"" ของผู้ชาย เครื่องซักผ้า เครื่องผลิตลูก เครื่องบำบัดความใคร่",0
8.96E+17,อวยพรไปงั้นอ่ะ ในใจกูแช่งให้พวกมึงไปกันไม่รอดอยู่ รู้ไว้ไอ่โง่,0
8.99E+17,ผู้หญิงไม่ใช่คนอยู่แล้วครับ ผู้หญิงคือเครื่องซะกผ้า เครื่องผลิตลูก เครื่องบำบัดความใคร่ แล้วแต่ว่าผู้ชายจะใช้งานยังไง,1
8.99E+17,ไม่มีสัจจะในหมู่คนเลวนะอีหนู!!!,0
8.99E+17,ผมไม่สนับสนับอาชญากรรมต่อผู้หญิงครับ ผมบอกว่าผู้หญิงเป็นสิ่งของ ไม่ได้บอกว่าให้ผู้ชายไปทำร้ายผู้หญิงหรือไล่ข่มขืนผู้หญิง,1
8.99E+17,ยามบ้านเมืองวิกฤติ ดี เลว ถูก ผิด มองไม่ชัด มีแต่ แข็ง อ่อน สูง ต่ำ รวย จน และผู้พิชิตคือวีรบุรุษ ผู้แพ้คือโจร (โจโฉ),0
8.99E+17,เป็นผู้หญิงต้องรักนวลสงวนตัว จะมาขำไม่ได้นะ,1
8.99E+17,รักนวลสงวนตัวหน่อยค้าบลูกกก,1
8.99E+17,เห็นแฟนเปลี่ยนสีผม นี่เลยไปทำสีบ้าง สีพลาดไปรอบนึงต้องแก้ใหม่😂😂😂 สุดท้ายสีที่ได้ก็ไม่ได้เลวร้ายอะไรนะ แค่ไม่ใช่สีที่เลือกไว้ตอนแรกแค่นั้น😂,0
8.97E+17,บางทีก็ควรเลิกค่านิยมว่าผู้หญิงควรรักนวลสงวนตัว แต่เป็นผู้ชายควรห้ามควยตัวเองบ้างนะ,0
8.99E+17,ความจริงแม่งก็เลวไม่ต่างกันมากหรอก,0
8.99E+17,"ยิ่งโตยิ่งเชื่อในประโยคที่ว่า ""โลกแม่งจะสอนให้เราเลวขึ้น""",0
8.98E+17,อย่างน้อยช่วงเวลาที่เลวร้ายที่สุดในชีวิต มันทำให้เราได้เรียนรู้ว่าทุกปัญหามีทางออกเสมอ ไม่ว่าปัญหานั้นจะเล็กหรือใหญ่เพียงใด,0
8.97E+17,ไม่มีใครดีที่สุด ไม่มีใครเลวที่สุด ถ้ายังรู้จักกันไม่ถึงที่สุด😌,0
8.97E+17,เป็นแม่ศรีเรือนในก้นครัว เป็นอีตัวบนเตียง,1
8.98E+17,ทำดีมาทั้งชีวิต พลาดครั้งเดียวกลายเป็นเลวไม่มีชิ้นดี,0
8.98E+17,คำพูดนี่มีพลังจริงๆคนที่พูดเอาดีเข้าตัวเอาชั่วให้คนอื่น ทั้งที่ฝ่ายดีก็ชั่วพอกัน แต่แค่ไม่มีคนเล่า คนก็มองว่าฝ่ายชั่วว่าเลวอยู่ฝ่ายเดียวละ,0
8.96E+17,ผู้ชายคนนึงบนรถเมล์พูดว่าแฟนซื้อของให้บ่อยราคาแพงๆ ไม่ได้ดูน่าอิจฉานะ ดูเหี้ยอะ แมงดา,0
8.96E+17,"ถึงเป็นเหี้ยเป็นยักษ์ยังรักลูก
มึงต้องถูกสาบแช่งแรงกว่าเหี้ย
จิตใจเลวร้ายไม่ไหวจะเคลียร์
อิหัวใจต่ำเตี้ยกว่าโคลตม
#กูยังโกรธ",0
8.48E+17,ผู้หญิงไม่ใช่เพศที่อ่อนแอ อย่างน้อยแม่คุณก็แข็งแรงพอจะมีเลือดออกจากช่องคลอดตั้งแต่อายุ12 แล้วทนปวดท้องมาหลายปี จนอุ้มท้องมีคุณก่อนคลอดออกมาให้มีชีวิตมาจนถึงตอนนี้แล้วมาปากดีใส่เพศหญิงไงคะ,0
8.99E+17,ครับชั่วมากๆเอาเปรียบ.ผู้หญิง.เลวระยำนะไอ้หน้าตัวเมีย,1
8.97E+17,อีสิวเลว เหมือนรู้เลยนะว่าจะเปิดเทอมแล้ว แย่งกันขึ้นเชียว! ขอบคุณจ้ะ,0
8.99E+17,ชอบแมงดาขนาดนี้ เป็นกะหรี่ป่ะจ๊ะ,1
8.99E+17,สมเป็นหัวหน้าคนชั่ว.👍5555555,0
8.98E+17,อย่าวัดคุณค่าผู้หญิงที่ความซิง,0
8.98E+17,ใครที่ดูถูกว่ารับงาน ว่ากะหรี่ เชิญคุณดูถูกได้ตามสบายค่ะ คนเรามีโอกาสในชีวิตต่างกัน,0
8.98E+17,งงตัวเองมากอ่ะ คือชอบคนเยอะมาก นี้กูเป็นกะหรี่ หรือยังไง5555  เด็กเกินจะเข้าใจความรักสิน่ะ,1
8.98E+17,อยากกินปูผัดผงกะหรี่,0
8.98E+17,ผู้หญิงเล่นเกมหายาก = เคยเปิดไมค์พูดแล้วเสียงเป็นผญ / เคยพิมพ์ลงท้ายด้วยคำว่าค่ะ เวลาต่อมาโดนคุกคามทางเพศ ก็เลยไม่เปิดเผยตัวตนจร้า,0
9.00E+17,มุงไปดู tunnel *ฆาตกรต่อเนื่องที่เลือกฆ่าเฉพาะผู้หญิงใส่กระโปรง โดยให้เหตุผลว่าผู้หญิงที่ตัวเองฆ่าเป็นผู้หญิงไม่ดี ร่าน และมันเชื่อมั่นมากว่า สิ่งที่ทำคือการผดุงความถูกต้อง ,0
8.98E+17,ผู้หญิงมีชู้บ้าง = Eร่าน Eกะหรี่ ฯลฯ ,1
8.99E+17,กินแกงกะหรี่... เจอแกงเหลืองอ๋อย ติดหวาน ใส่มันฝรั่งและแครอท คำถามคือ นี่เป็นแกงสูตรประเทศอะไร,0
8.98E+17,ผู้หญิงทะเลาะกันแย่งพระเอก = นังผญร่าน ตัวอิจฉา น่าไม่อาย,1
9.00E+17,อยากคุยแชทเสียวกับผู้หญิงร่านหีคับ,1
8.98E+17,ผู้ชายฉีกเสื้อโชว์บอกเท่ ผู้หญิงฉีกเสื้อโชว์บอกโป๊แรดร่าน,0
9.00E+17,เป็นคนร่านหี เลยชอบข่มขืนผู้หญิง,1
8.98E+17,เข้าคณะวันนี้ทาปากสีชมพูด้วยคอนเซ็ปต์ถ่ายจากดาวอังคารต้องเห็นปากกูชัดคือโดนคนด่าว่าตอแหลเยอะมาก ดีใจมาก ยิ้มรับ ทาแล้วเลือดกะหรี่พุ่งพล่าน,0
8.99E+17,อยู่ดีๆก็อยากกินข้าวแกงกะหรี่...ทำเองไม่เป็น ไปซื้อแบบสำเร็จรูปมากินละกัน,0
8.98E+17,"อยากกะหรี่ให้มากกว่ารุ่นพี่ที่ทำงาน
สุดท้ายกูเเพ้",0
9.00E+17,อยากวิจารณ์กระหรี่ร่านๆ ขอผู้หญิงนะ,1
8.98E+17,"ขนส่ง ยี่ห้อ กะหรี่ นี่ สู้ ไปรษณีย์ไทยไม่ได้เลยจริงๆ 

โทรถามทาง มันทุกครั้งที่จะมาส่ง = =''",0
8.99E+17,ผู้ชายเกาะผู้หญิงกิน : แมงดา 😛,1
8.93E+17,คำพูดที่มันทำให้ดูเป็นคนทัศคติต่ำไปเลย (สำหรับเรา) คือคำว่าประเทศเฮงซวย ประเทศกะลาแลนด์ ประเทศไม่ผิดอะไร คนในประเทศต่างหากที่ทำเรื่องเฮงซวย,0
8.98E+17,บางคนความคิดก็ต่ำยิ่งกว่าสัตว์เซลล์เดียวอีก,0
8.98E+17,แบ่งแยกแล้วมึงสูงขึ้นเหรอ? เปล่าค่ะ...ใจมึงอ่ะ_ต่ำ_มาก กศษ.ไม่ช่วยห่าไร เลวด้วยตัวเองล้วนๆ,0
8.97E+17,ต่อประโยคไง แล้วความหมายของดอกชบาคือผู้หญิงหลายผัวแปลได้ว่าร่าน,1
8.99E+17,สันดาน คนแบบมึงเหมาะสมกับผู้หญิง.ร่านๆๆอ่ะดีที่สุด,1
8.98E+17,ผู้หญิงมันแค่กะหรี่ร่านควยเท่านั้นครับ มีค่าเป็นแค่ถังเก็บน้ำควย,1
8.99E+17,ทุเรียนคือความชั่วร้าย,0
8.99E+17,"ทั้งท่อน ""ชั้นรู้ว่าเธอน่ะร้ายจะตาย เธอมีผู้ชายมากมาย"" อันนี้คือไรก่อน ถ้าผู้หญิงที่เคยวันไน้กับผช.มาหลายคนคือกลายเป็นคนร่านไปเลยหรอ",0
8.97E+17,ความร่านของผู้หญิงครับ มันทำให้น่าเย็ดมากๆ,1
8.98E+17,"เมื่อไหร่คนไทยจะเลิกมอง ผู้หญิงไปห้องผู้ชาย,ไปหาผู้ชายถึงบ้าน=แรด ร่านซักทีวะให้หัวมึงนี่คิดว่าเขาไปเย้ดกันตลอดเวลาเลยรึไง ยิ่งพวกอีแก่ยิ่งตัวดีนะความคิดเหี้ยๆแบบนี้",0
8.97E+17,เกลียดผู้หญิงที่ประเภทรู้ว่าเขามีเเฟนอยู่เเล้วก็ยังจะไปยุ่งอีก อีร่าน,1
8.98E+17,ทำไมบางคนถึงสนุกกับการทำตัวหยาบคายหรือพ่นคำหยาบคายในพื้นที่ของคนอื่นอ่ะ รู้เปล่าว่าความถ่อยมันไม่ได้เท่เลย มันต่ำเว้ย..,0
8.99E+17,"ดี ชั่ว อยู่ที่ ตัว ทำ สูง ต่ำ อยู่ ที่ ทำ ตัว
... คน เรา ทำ อย่าง ไร ก็ ได้ อย่าง นั้น แหละ ...
ฝืน ธรรม ชาติ ไม่ ได้ หรอก",0
8.97E+17,ไม่มีใครรับในมุมที่แย่ที่สุด จุดต่ำสุด หรือความเลวร้ายที่สุดได้ นอกจากเพื่อน,0
8.98E+17,"คนอื่นอ่านออกเสียงในใจกันมั้ย
มีเสียงสูง ต่ำ แผ่ว เบา เวลาอ่านทวิตรึเปล่า",0
8.99E+17,"ต่ำ ต่ำมากๆต่ำสุดๆถูกเลี้ยงมาแบบ
ไหนอ่ะต่ำตมดีจัง",0
8.98E+17,อุบาดชาติชั่วที่สุดต่ำตม twitter.com/signxseonho/st…,0
8.97E+17,แต่งตัวไม่วาบหวิวมันก็ลวนลามค่ะ ความคิดแม่งชั้นต่ำ,0
8.99E+17,เครื่องสักการบูชาของคนชั่วร้ายเป็นสิ่งน่าเกลียดน่าชัง เมื่อเขานำมาด้วยความตั้งใจชั่วจะยิ่งกว่านั้นสักเท่าใด fb.me/6vsjJtdy6,0
8.99E+17,เลิกได้เลิกนะ ที่ว่าพอเห็นผู้หญิงนัดเน้กแล้วบอกว่าแม่งร่านอะ คือเขาไม่ได้ร่าน เขาแค่หงี่ ไอสัด,0
8.99E+17,ด่าผู้หญิงที่อยู่ใกล้ตลคชาย เหมือนเวลาด่าผู้หญิงที่มีเพื่อนผู้ชายเยอะว่าร่านงี้ปะ,0
8.99E+17,ฉันเกิดมาเพื่อเป็นแมงดา,1
8.98E+17,แรดมันเอาไว้ใช้ตอนผู้หญิงตบกันแย่งผู้ชาย อย่างกูต้องเรียกว่าร่าน,1
8.99E+17,เอองงเหมือนกันผู้หญิงโชว์สัดส่วนบอกร่าน แรดแต่พอผู้ชายโชว์สัดส่วนทำไมถึงชอบกันแล้วไม่เห็นว่าอะไรเลย งง,0
8.99E+17,ถึงพลอจะชั่ว เป็นแมวขโมย เห็นแก่กิน ชอบด่าและกากมาก แต่ก็อบอุ่นที่สุดเลยนะ,0
8.97E+17,โลกหมุนรอบจู๋เมิงหรือไง จะร่านจะเงี่ยนก็เรื่องของผู้หญิงเขาป่ะ,0
8.97E+17,ผู้หญิงดีๆมีไว้แต่งงานผู้หญิงร่านๆเอาไว้เป็นทางผ่านท่อปัสสาวะ,1
8.99E+17,มึงมันเรด ฮึ่ย ไม่รู้จะด่ายังไงแล้ว ไอ้สารชั่ว pic.twitter.com/1sm8ZhLNtj,0
8.99E+17,พวกชั่ว กูกลัวผีอะไม่ใช่กูส่องกระจก 😂,0
8.99E+17,ปังมาด เชื่อว่าทุกรรต้องมีครูแบบที่ชอบด่าเด็กนรผู้หญิงว่าแรด ร่าน เพราะเรื่องไร้สาระ (อาทิเช่น ไว้ผมยาว ไม่ใส่เสื้อทับใน) ซึ่งปสดมาก,0
8.98E+17, อย่าดูหมิ่นความชั่วว่าเล็กน้อย คงจักไม่มีผลมาถึงตัว,0
8.99E+17,รีล่า จริงพอเป็นผู้หญิงมาบอกร่าน ไม่ได้ร่านกูแค่แสวงหาของดีที่สุดเหอะ,0
8.99E+17,คพว่าผู้หญิงง่าย ๆ ร่าน ที่ออกมาจากปากผู้หญิงด้วยกันเองมันน่าเศร้าเหมือนกันนะ คุณค่าของคนเราไม่ได้อยู่หีเลยอะ แล้วมึงเป็นผู้หญิงด้วยกันอะ ทำไมวะ,0
9.09E+17,มึงไม่ควรขอบคุณกูนะ มึงควรขอโทษ ที่พากูไปหลงและส่งไม่ถึงที่ แถมไปไม่ทันนัด คนชั่ว,0
8.99E+17,ไปบอกคนที่เขาละเมิดสิทธิสิ มาร้องแรกแหกกระเชอกับคน90% ที่เขาไม่รู้ออโหน่อิเหร่ทำไม อยากได้ความยุติธรรมจริงๆ หรือแค่โหยหาคุณค่าทางเพศกันแน่,1
8.99E+17,ก็ทำงานส่งไห้มึงเรียน มึงเสือกทำตัวเหี้ยๆ กูอยากตบมึงเด้ อีน้องชั่วอีใจบาป 00000,0
8.97E+17,กลิ่นแมงดาโคตรเฟคคคคค แงงงง ฉุนน,0
8.96E+17,"คราวนี้เอลไม่ทน เลยเดินตรงไปหาแม่งเลยแล้วถามว่านี่อะไร มึงหลอกเพื่อนกูหรอไอ้แมงดา

แบบโรงอาหารคนมันเยอะอยู่แล้ว พอเสียงดังก็หันมองกัน555",0
8.96E+17,อหเอ๊ย แมงดาด่าผู้ชายที่เกาะผู้หญิงแล้วผู้หญิงที่เกาะผู้ชายนี่เรียกว่าอะไร,1
8.99E+17,"ไม่เกินไปครับเพราะเป็น Fact ผู้หญิง = เครื่องผลิตลูก,เครื่องบำบัดความใคร่ให้ผู้ชาย การเป็นวัตถุทางเพศไม่ได้ลดคุณค่าของผู้หญิง เพราะผู้หญิงไม่ใช่คนตั้งแต่แรกอยู่แล้ว",1
8.98E+17,“ถ้ากูมีควยก็ต้องไปเกณฑ์ทหาร ถ้ากูมีหีก็ต้องไปเป็นเครื่องผลิตลูกให้มึง คุณค่ากูตัดสินที่หีกับควยเหรอ” — ผู้ปราศัยเรื่องสมรสเท่าเทียม,0
8.97E+17,เกิดเป็นผู้หญิงในสังคมนี้แม่งทุเรศชีวิตชิบหาย มีไรก่อนแต่งก็ไม่ได้ ท้องก่อนแต่งก็ไม่ได้ ซื้อยาคุมก็โดนมองแปลกๆ ฝังยาคุมก็โดนห้าม สรุปกูทำไรได้มั่ง เป็นเครื่องผลิตลูกให้ผู้ชายแค่นั้นเหรอ หรือไง สาระแนนัก เวร,0
8.96E+17,วิธีดักแมงดาคือ ทำเป็นพูดว่าจนๆ แล้วเค๊าจะตีจากไปเอง,0
8.99E+17,กะหรี่ก็อาชีพนึงที่มีศักดิ์ศรีความเป็นมนุษย์เท่าชาวบ้าน ความร่านก็เป็นเรื่องธรรมชาติ เรื่องอะไรต้องสั่งให้ผู้หญิง restrain อ่ะ เทียบกับสิ่งที่ผู้ชายทำ,0
8.91E+17,วัดทางภาคเหนือและพระธาตุต่างๆยังห้ามผู้หญิงเข้าเลยเพราะกลัวประจำเดือนหยดใส่ แต่เวลามีงานวัดหรือการใส่บาตรตอนเช้าก็ผู้หญิงนี่ล่ะเตรียมอาหารให้ทุกอย่าง มองผู้หญิงเป็นแค่คนใช้และเครื่องผลิตลูก ,0
8.99E+17,โอ๊ยย น่าสงสารมากอ่ะ ไม่ได้ชั่วโดยกำเนิด แต่ชั่วเพราะผู้เลี้ยงดู #มือปราบเจ้าหัวใจ,0
8.98E+17,ไม่ต่างจากปลิง แมงดา เห็บเลยจ่ะ เป็นผช.ด้วยมาเกาะใช้ชื่อลูกงี้😠,0
8.99E+17,อยากดัดสันดานน้องโดยการไม่จ่ายค่าเน็ตบ้าน  อิดอก มึงมันแมงดา คอยแต่ผลาญเงินเคยช่วยอะไรบ้างมั้ย,0
8.98E+17,มื้อประหยัด ข้าวไข่เจียวน้ำพริกแมงดา น้ำพริกเอามาจากบ้าน ฟรี pic.twitter.com/oWfz77eF1n,0
8.99E+17,ผู้หญิงโครตยั่วควยเลย แลบลิ้นกินน้ำควยอย่างร่าน,1
